url,sources,in_sitemap,page_type,repo_file
/competitors/jobboss2/,"repo,sitemap",yes,competitor,competitors/jobboss2/index.html
/competitors/netsuite/,"repo,sitemap",yes,competitor,competitors/netsuite/index.html
/competitors/odoo/,"repo,sitemap",yes,competitor,competitors/odoo/index.html
/competitors/sap-business-one/,"repo,sitemap",yes,competitor,competitors/sap-business-one/index.html
/furniture-erp/,"repo,sitemap",yes,vertical-landing,furniture-erp/index.html
/hiring.html,"repo,sitemap",yes,legal-utility,hiring.html
/,"repo,sitemap",yes,marketing,index.html
/pricing.html,"repo,sitemap",yes,marketing,pricing.html
/privacy.html,"repo,sitemap",yes,legal-utility,privacy.html
/product.html,"repo,sitemap",yes,marketing,product.html
/security.html,"repo,sitemap",yes,legal-utility,security.html
/sg-schema.html,"repo,sitemap",yes,marketing,sg-schema.html
/terms.html,"repo,sitemap",yes,legal-utility,terms.html
/tools/automation-roi-estimator/,"repo,sitemap",yes,tool,tools/automation-roi-estimator/index.html
/tools/bill-of-materials-template/,"repo,sitemap",yes,tool,tools/bill-of-materials-template/index.html
/tools/break-even-calculator/,"repo,sitemap",yes,tool,tools/break-even-calculator/index.html
/tools/burden-rate-calculator/,"repo,sitemap",yes,tool,tools/burden-rate-calculator/index.html
/tools/business-valuation-calculator/,"repo,sitemap",yes,tool,tools/business-valuation-calculator/index.html
/tools/capacity-planning-calculator/,"repo,sitemap",yes,tool,tools/capacity-planning-calculator/index.html
/tools/cost-of-poor-quality/,"repo,sitemap",yes,tool,tools/cost-of-poor-quality/index.html
/tools/customer-concentration-risk/,"repo,sitemap",yes,tool,tools/customer-concentration-risk/index.html
/tools/digital-maturity-assessment/,"repo,sitemap",yes,tool,tools/digital-maturity-assessment/index.html
/tools/downtime-cost-calculator/,"repo,sitemap",yes,tool,tools/downtime-cost-calculator/index.html
/tools/ebitda-calculator/,"repo,sitemap",yes,tool,tools/ebitda-calculator/index.html
/tools/erp-needs-assessment/,"repo,sitemap",yes,tool,tools/erp-needs-assessment/index.html
/tools/erp-readiness-scorecard/,"repo,sitemap",yes,tool,tools/erp-readiness-scorecard/index.html
/tools/exit-readiness-scorecard/,"repo,sitemap",yes,tool,tools/exit-readiness-scorecard/index.html
/tools/expansion-roi-calculator/,"repo,sitemap",yes,tool,tools/expansion-roi-calculator/index.html
/tools/hire-vs-overtime/,"repo,sitemap",yes,tool,tools/hire-vs-overtime/index.html
/tools/,"repo,sitemap",yes,tool-index,tools/index.html
/tools/insurance-coverage-checklist/,"repo,sitemap",yes,tool,tools/insurance-coverage-checklist/index.html
/tools/invoice-generator/,"repo,sitemap",yes,tool,tools/invoice-generator/index.html
/tools/iso-9001-readiness/,"repo,sitemap",yes,tool,tools/iso-9001-readiness/index.html
/tools/job-cost-calculator/,"repo,sitemap",yes,tool,tools/job-cost-calculator/index.html
/tools/lease-vs-buy-equipment/,"repo,sitemap",yes,tool,tools/lease-vs-buy-equipment/index.html
/tools/make-vs-buy-calculator/,"repo,sitemap",yes,tool,tools/make-vs-buy-calculator/index.html
/tools/manufacturing-kpi-benchmark/,"repo,sitemap",yes,tool,tools/manufacturing-kpi-benchmark/index.html
/tools/markup-vs-margin/,"repo,sitemap",yes,tool,tools/markup-vs-margin/index.html
/tools/oee-calculator/,"repo,sitemap",yes,tool,tools/oee-calculator/index.html
/tools/operations-health-score/,"repo,sitemap",yes,tool,tools/operations-health-score/index.html
/tools/osha-compliance-checklist/,"repo,sitemap",yes,tool,tools/osha-compliance-checklist/index.html
/tools/production-schedule-template/,"repo,sitemap",yes,tool,tools/production-schedule-template/index.html
/tools/purchase-order-generator/,"repo,sitemap",yes,tool,tools/purchase-order-generator/index.html
/tools/quality-inspection-checklist/,"repo,sitemap",yes,tool,tools/quality-inspection-checklist/index.html
/tools/quote-generator/,"repo,sitemap",yes,tool,tools/quote-generator/index.html
/tools/reorder-point-calculator/,"repo,sitemap",yes,tool,tools/reorder-point-calculator/index.html
/tools/revenue-per-employee/,"repo,sitemap",yes,tool,tools/revenue-per-employee/index.html
/tools/scrap-waste-calculator/,"repo,sitemap",yes,tool,tools/scrap-waste-calculator/index.html
/tools/sde-calculator/,"repo,sitemap",yes,tool,tools/sde-calculator/index.html
